"stop_id","stop_code","stop_name","stop_desc","stop_lat","stop_lon","location_type","parent_station","wheelchair_boarding","platform_code","zone_id"
"de:03455:47071","","Jever",,"53.568778000000","7.893122000000",0,,0,"","200-200|Jever-2200"
"de:01051:57124","","Lunden",,"54.330924000000","9.030790000000",0,,0,"","2760-2762"
"de:03352:57131","","Lunestedt",,"53.439157000000","8.734544000000",0,,0,"","230-230|Beverstedt-1230|VBN-VBN"
"de:13071:31","","Reuterstadt Stavenhagen",,"53.706919000000","12.914200000000",0,,0,"",""
"de:03152:37762","","Hann. Münden",,"51.412538000000","9.658110000000",0,,0,"","Hann. Münden-300|Hann. Münden-3300|VSN-VSN"
"de:06631:11047","","Burghaun(Hünfeld) Bahnhof",,"50.701030000000","9.727221000000",0,,0,"",""
"de:13071:12353","","Neubrandenburg",,"53.561646000000","13.260128000000",0,,0,"",""
"de:16062:8012516","","Nordhausen-Salza",,"51.515111000000","10.773140000000",0,,0,"","PH-PH"
"de:16055:8010366","","Weimar",,"50.991610000000","11.326187000000",0,,0,"",""
"de:03454:8779","","Meppen Bahnhof",,"52.695592000000","7.298021000000",0,,0,"","4035-4035|EMS-EMS|Meppen-MEP"
"de:03460:65535","","Neuenkirchen(Oldb)",,"52.508466000000","8.059756000000",0,,0,"","Neuenkirchen(Oldb)-NEU|VOS-VOS"
"de:03257:508","","Haste(b Wunstorf) Bahnhof",,"52.379194000000","9.389217000000",0,,0,"","3-3|GVH-GVH|Region-5003"
"de:06412:912","","Frankfurt(Main) Süd",,"50.099365000000","8.686457000000",0,,0,"",""
"de:08115:5776","","Gäufelden",,"48.559661000000","8.850308000000",0,,0,"",""
"de:16052:8010125","","Gera Hauptbahnhof",,"50.883421000000","12.077092000000",0,,0,"",""
"de:01060:37985","","Altengörs",,"53.898696000000","10.355554000000",0,,0,"","724-292"
"de:03458:44501","","Hude(Oldb)",,"53.109372000000","8.460953000000",0,,0,"","730-730|Hude-1730|VBN-VBN"
"de:03462:25726","","Esens",,"53.636242000000","7.616100000000",0,,0,"","301-301|Esens-2350"
"de:03453:25953","","Essen(Oldb)",,"52.723412000000","7.945462000000",0,,0,"","822-822|831-831|Essen(Oldb)-ESS"
"de:03155:38437","","Hardegsen",,"51.659021000000","9.825962000000",0,,0,"","Hardegsen-3420|Hardegsen-420|VSN-VSN"
"de:01054:38431","","Harblek",,"54.361971000000","8.962646000000",0,,0,"","1310-1311"
"de:03454:8618","","Haren(Ems) Bahnhof",,"52.784606000000","7.300653000000",0,,0,"","40185-40185|EMS-EMS|Haren-HAE"
"de:01053:8005468","","Schwarzenbek",,"53.503733000000","10.484736000000",0,,0,"","706-270"
"de:05112:16032","","Duisburg Hbf",,"51.429121000000","6.773354000000",0,,0,"",""
"de:05122:13800","","Solingen Hbf",,"51.160607000000","7.003855000000",0,,0,"",""
"de:05111:18235","","Düsseldorf Hauptbahnhof",,"51.220262000000","6.793716000000",0,,0,"",""
"de:01057:75570","","Schwentinental-Raisdorf",,"54.280898000000","10.243684000000",0,,0,"","5120-5122"
"de:03359:8000089","","Stade(Niederelbe)",,"53.595982000000","9.478010000000",0,,0,"","HVV-HVV|HVV Zone 809-HVV-809"
"de:03241:8140","","Eilvese",,"52.545215000000","9.428147000000",0,,0,"","3-3|GVH-GVH|Region-5003"
"de:01004:23309","","Neumünster-Einfeld",,"54.129623000000","9.998178000000",0,,0,"","3500-3501"
"de:01058:3797","","Aukrug",,"54.082398000000","9.785810000000",0,,0,"","3390-3391"
"de:05762:9032","","Höxter-Lüchtringen",,"51.790928000000","9.427208000000",0,,0,"","Lüchtringen-706|NRW-NRW"
"de:01051:46859","","Jarrenwisch",,"54.212081000000","8.962896000000",0,,0,"","2400-2554"
"de:06632:202508","","Rotenburg a.d. Fulda",,"50.997855000000","9.733344000000",0,,0,"",""
"de:03241:9238","","Dedenhausen Bahnhof",,"52.432225000000","10.239656000000",0,,0,"","3-3|GVH-GVH|Region-5003|VRB-VRB"
"de:06634:204813","","Melsungen",,"51.126002000000","9.546079000000",0,,0,"",""
"de:01054:6219","","Bad St Peter Süd",,"54.305010000000","8.648041000000",0,,0,"","1360-1361"
"de:01054:6220","","Bad St Peter-Ording",,"54.317293000000","8.614736000000",0,,0,"","1360-1362"
"de:06636:206569","","Bad Sooden-Allendorf",,"51.268244000000","9.968978000000",0,,0,"",""
"de:01060:37903","","Bad Segeberg",,"53.933721000000","10.308363000000",0,,0,"","804-372"
"de:14522:70228","","Freiberg(Sachs)",,"50.908725000000","13.344141000000",0,,0,"",""
"000008089123","","Grambow [Grenze]",,"53.415807000000","14.373400000000",0,,0,"",""
"de:01003:57819","","Lübeck Hbf",,"53.867215000000","10.668884000000",0,,0,"","6000-6099"
"de:05758:1741","","Löhne Remarqueplatz/Bahnhof",,"52.197217000000","8.712829000000",0,,0,"",""
"de:03157:8146","","Vöhrum Bahnhof",,"52.335357000000","10.169015000000",0,,0,"","4-4|50-50|Peine-4050|VRB-VRB"
"de:03355:8000238","","Lüneburg",,"53.249580000000","10.419506000000",0,,0,"","HVV-HVV|HVV Zone 807-HVV-807"
"de:01057:74630","","Preetz",,"54.233869000000","10.275833000000",0,,0,"","5320-5323"
"de:13075:6445","","Sandförde B 109",,"53.563488000000","13.965720000000",0,,0,"",""
"de:03355:8004913","","Radbruch",,"53.317851000000","10.289628000000",0,,0,"","HVV-HVV|HVV Zone 727-HVV-727"
"de:06611:200001","","Kassel Hbf",,"51.318260000000","9.489501000000",0,,0,"",""
"de:03151:1019","","Knesebeck",,"52.677812000000","10.690267000000",0,,0,"","13-13|VRB-VRB|Wittingen-4013"
"de:05754:9036","","Halle(Westf) OWL-Arena",,"52.061643000000","8.343797000000",0,,0,"","KNT-KNT"
"de:08212:90","","Karlsruhe Hbf",,"48.993515000000","8.402181000000",0,,0,"",""
"de:01002:49079","","Kiel Hbf",,"54.314206000000","10.131429000000",0,,0,"","4000-4001"
"de:03241:9184","","Immensen-Arpke Bahnhof",,"52.392198000000","10.085079000000",0,,0,"","101-101|3-3|GVH-GVH|Region-5003"
"de:03357:81103","","Scheeßel",,"53.165830000000","9.496967000000",0,,0,"","350-350|HVV-HVV|Scheeßel-0350"
"de:03158:485","","Dettum Bahnhof",,"52.156951000000","10.660741000000",0,,0,"","72-72|Dettum-4072|VRB-VRB"
"de:01061:46671","","Itzehoe",,"53.924079000000","9.510151000000",0,,0,"","6500-6501"
"de:05566:60007","","Ibbenbüren-Laggenbeck",,"52.264930000000","7.781314000000",0,,0,"",""
"de:03459:60340","","Melle",,"52.209431000000","8.341699000000",0,,0,"","Bruchmühlen-7368|NRW-NRW"
"de:01056:8001387","","Dauenhof",,"53.852494000000","9.680662000000",0,,0,"","702-240"
"de:01051:60319","","Meldorf",,"54.087740000000","9.080059000000",0,,0,"","2680-2683"
"de:03360:99266","","Wieren",,"52.892582000000","10.655640000000",0,,0,"","2008-2008|227-227|UE-UE|Wieren-WIE"
"de:01054:90089","","Tating",,"54.322847000000","8.709512000000",0,,0,"","1350-1351"
"de:01059:90046","","Tarp",,"54.664705000000","9.398465000000",0,,0,"","1565-1567"
"de:13072:1307","","Teterow Bahnhof",,"53.768461000000","12.577775000000",0,,0,"","17-3017"
"de:01054:100922","","Witzwort",,"54.386097000000","8.998558000000",0,,0,"","1310-1315"
"de:06636:206454","","Witzenhausen Nord",,"51.351665000000","9.863042000000",0,,0,"","VSN-VSN|Witzenhausen-650|Witzenhausen-WIT"
"de:03462:100862","","Wittmund",,"53.579868000000","7.788826000000",0,,0,"","300-300|Wittmund-2300"
"de:01055:6090","","Bad Schwartau",,"53.916295000000","10.702754000000",0,,0,"","5515-5516"
"de:13072:125","","Bützow Bahnhof",,"53.836260000000","11.996759000000",0,,0,"","14-3014"
"de:01051:1627","","Albersdorf(Holst)",,"54.146320000000","9.292151000000",0,,0,"","2590-2591"
"de:16056:8010105","","Eisenach(Thür) Opelwerk Hp",,"50.979334000000","10.283491000000",0,,0,"",""
"de:16051:8010101","","Erfurt Hbf",,"50.972354000000","11.037991000000",0,,0,"",""
"de:03404:71500","","Osnabrück Altstadt",,"52.281229000000","8.045294000000",0,,0,"","100-7100|NRW-NRW|Osnabrück-7100|VOS-VOS"
"de:03241:9808","","Lehrte(b Hannover)",,"52.376722000000","9.974599000000",0,,0,"","101-101|3-3|GVH-GVH|Region-5003"
"de:03457:54173","","Leer(Ostfriesl)",,"53.231410000000","7.465229000000",0,,0,"","600-600|Leer-2600"
"de:01061:31055","","Glückstadt",,"53.788516000000","9.428424000000",0,,0,"","6660-6665"
"de:05770:4595","","Porta Westfalica",,"52.243423000000","8.920253000000",0,,0,"","NRW-NRW"
"de:05762:9033","","Godelheim",,"51.735123000000","9.356871000000",0,,0,"","NRW-NRW"
"de:01058:22679","","Eckernförde",,"54.467793000000","9.834919000000",0,,0,"","3400-3401"
"de:05711:5063","","Bielefeld-Quelle Bahnhof",,"52.000239000000","8.461827000000",0,,0,"",""
"000008001774","","Emmerich [Grenze]",,"51.901194000000","6.137652000000",0,,0,"",""
"de:03151:858","","Gifhorn Bahnhof Süd",,"52.456506000000","10.545743000000",0,,0,"","10-10|Gifhorn-4010|VRB-VRB"
"de:05154:36119","","Emmerich Bahnhof",,"51.834087000000","6.255653000000",0,,0,"",""
"de:01054:44660","","Husum",,"54.472015000000","9.056272000000",0,,0,"","1000-1001"
"de:06633:209611","","Fuldatal-Ihringshausen",,"51.348591000000","9.526070000000",0,,0,"",""
"de:13075:6022","","Grambow Bahnhof",,"53.416904000000","14.347109000000",0,,0,"",""
"de:03156:5205","","Bad Lauterberg im Harz Barbis",,"51.618900000000","10.414785000000",0,,0,"","Barbis-138|Barbis-3138|VSN-VSN"
"de:03158:568","","Schandelah Bahnhof",,"52.267317000000","10.685824000000",0,,0,"","71-71|Cremlingen-4071|VRB-VRB"
"de:03241:9830","","Hannover Messe/Laatzen",,"52.316899000000","9.792863000000",0,,0,"","2-2|203-203|GVH-GVH|Umland-5002"
"de:13074:3008","","Herrnburg",,"53.838061000000","10.760021000000",0,,0,"",""
"de:16074:8011862","","Hermsdorf-Klosterlausnitz",,"50.903779000000","11.858626000000",0,,0,"",""
"de:03151:857","","Meine Bahnhof",,"52.380847000000","10.535534000000",0,,0,"","16-16|Meine-4016|VRB-VRB"
"de:03352:100197","","Wingst",,"53.745307000000","9.098043000000",0,,0,"","CUX-CUX|Wingst-WIN"
"de:03151:976","","Ohof Bahnhof Meinersen",,"52.449451000000","10.319644000000",0,,0,"","17-17|Leiferde-4017|VRB-VRB"
"de:05754:6337","","Borgholzhausen",,"52.085229000000","8.266579000000",0,,0,"","KNT-KNT"
"de:01058:11755","","Bordesholm",,"54.174443000000","10.043901000000",0,,0,"","3310-3312"
"de:15082:8010050","","Bitterfeld",,"51.622861000000","12.316850000000",0,,0,"",""
"de:13076:9062","","Blankenberg(Meckl) Bahnhof",,"53.771915000000","11.715464000000",0,,0,"","58-58"
"de:03158:444","","Weddel(Cremlingen) Bahnhof",,"52.269118000000","10.623494000000",0,,0,"","71-71|Cremlingen-4071|VRB-VRB"
